CATNO;QID;CON;[MESSIER];NAME_DE;NAME_EN;MAG;RA_HH;RA_MM_SS;DEC_DEG;DEC_MM_SS;QTYPE;DIST_MLY;DIST_COM_MPC;REDSHIFT;Q
29;3C 48.0;TRI;;B2 0134+325;B2 0134+325;16.20;01;37.688;+33;9.583;QSO;3.4;1245;0.367;Q;16.2;v;-25.2;4C 32.08;NRAO 79        OC+358         DA 54, CTA 15;;;;19;0134+329;37;41.3;09;35
30;UM 357;CET;;NAB 0137-010;NAB 0137-010;16.49;01;40.283;-00;50.050;QSO;3.2;1150;0.335;Q;16.5;v;-25.3;PHL 1096;PGC 6178;;;;20;0137-010;40;17.0;50;03
31;TEX 0145+386;AND;;UT 0145+386;UT 0145+386;16.50;01;48.407;+38;54.067;QSO;7.3;3703;1.440;Q;;;-28.6;;;;;;;0145+386;48;24.4;54;04
32;IRAS 01475+3554;AND;;;;15.30;01;50.545;+36;9.433;QSO;1.0;307;0.080;Q;;;-23.1;;;;;;;0147+359;50;32.7;09;26
33;KUV 01507-0744;CET;;;;16.50;01;53.183;-07;28.950;QSO;3.0;1044;0.300;Q;;;-24.9;;;;;;;0150-077;53;11.0;28;57
34;S5 0153+74;CAS;;;;16.00;01;57.580;+74;42.733;QSO;8.6;5213;2.338;Q;;;-30.5;;;;;;;0153+744;57;34.8;42;44
35;MK 1014;CET;;PG 0157+001;PG 0157+001;15.69;01;59.837;+00;23.683;QSO;1.8;601;0.163;Q;15.2;;-23.9;UM 385;PGC 7551;;;;21;0157+001;59;50.2;23;41
36;3C 57;CET;;PKS 0159-117;PKS 0159-117;16.40;02;1.952;-11;32.567;QSO;5.1;2056;0.669;Q;16.4;v;-26.6;OC-199;NRAO 88        MSH 01-121;;;;22;0159-117;01;57.1;32;34
37;1E 0200-089;CET;;KUV 02010-08;KUV 02010-08;16.50;02;3.437;-08;43.817;QSO;5.5;2301;0.770;Q;;;-27.0;58;;;;;;0200-089;03;26.2;43;49
38;3C 59;TRI;;PGC 8076;PGC 8076;16.00;02;7.037;+29;30.750;QSO;1.3;412;0.109;Q;;;-23.1;;;;;;;0204+292;07;02.2;30;45
39;MK 586;CET;;PB 6679;PB 6679;15.41;02;7.830;+02;42.917;QSO;1.7;574;0.155;Q;15.4;;-24.2;UM 397;UGC 1621       MCG 0-6-39     PGC 8125;;;;23;0205+024;07;49.8;42;55
40;PKS 0215+015;CET;;OD+026;OD+026;15.40;02;17.815;+01;44.833;BL;7.8;4200;1.715;Q;;;-29.3;;;;;;;0215+015;17;48.9;44;50
