CATNO;CATNO2_NGC;CON;MESSIER;NAME_DE;NAME_EN;RA_HH;RA_MM_SS;DEC_DEG;DEC_MM_SS;NTYPE;VISDIM1;VISDIM2;STAR;STAR_MAG;DIST_LY;MAG;N
1;LBN078.55+00.85;;;;;20;28.00;40;0.00;HII;0;0;;0;-999;;N
1;NGC2037;;;;;5;34.97;-69;43.80;ISM;0;0;;10.31;-999;;N
1;IC825;;;;;12;50.27;-5;22.70;HII;0;0;;0;-999;;N
1;Ced176e;;;;;20;24.60;42;22.00;RNe;0;0;;0;-999;;N
1;NGC3579;;;;;11;11.99;-61;14.60;ISM;0;0;;0;-999;;N
1;IC448;;;;;6;34.00;7;18.00;HII;0;0;;0;-999;;N
1;IC2167;;;;;6;31.12;10;26.08;RNe;0;0;;0;-999;;N
1;NGC3199;Car;;Bananennebel;Banana Nebula;10;16.55;-57;56.03;HII;12;15;HD 89358 WR18;0;12000;;N
1;IC137;;;;;1;33.60;30;31.00;ISM;0;0;;0;-999;;N
1;NGC2282;;;;;6;46.85;1;18.90;RNe;0;0;;0;-999;;N
1;IC4603;;;;;16;26.00;-24;-24.00;BNe;0;0;;0;-999;;N
1;IC1274;;;;;18;11.00;-23;-48.00;HII;0;0;;0;-999;;N
1;NGC1579;;;;;4;30.16;35;16.32;HII;0;0;;0;-999;;N
1;IC1470;;;;;23;5.17;60;14.52;HII;0;0;;0;-999;;N
1;IC4812;;;;;19;1.06;-37;3.63;BNe;0;0;;0;-999;;N
1;NGC1990;;;;;5;35.00;-1;-42.00;HII;0;0;;0;-999;;N
1;NGC1432;;;;;3;46.00;24;12.00;HII;0;0;;0;-999;;N
1;Ced41b;;;;;5;7.00;-7;-12.00;ISM;0;0;;0;-999;;N
1;NGC2185;;;;;6;10.00;-6;-12.00;RNe;0;0;;0;-999;;N
1;NGC1456;;;;;3;48.10;22;34.00;ISM;0;0;;0;-999;;N
1;NGC7538;;;;;23;13.76;61;28.35;HII;0;0;;0;-999;;N
1;NGC3584;;;;;11;12.33;-61;13.72;ISM;0;0;;0;-999;;N
1;NGC2467;Pup;;;;7;52.32;-26;26.50;HII;15;15;;0;4400;7.1;N
1;NGC1333A;;;;;3;29.03;31;20.92;MoC;0;0;;0;-999;;N
1;IC426;;;;;5;36.47;0;16.60;MoC;0;0;;0;-999;;N
1;NGC2032;;;;;5;35.39;-67;35.02;HII;0;0;;10.8;-999;;N
1;IC2117;;;;;4;57.25;-68;26.50;BNe;0;0;;0;-999;;N
1;NGC281A;Cas;;Pacman-Nebel;Pacman Nebula;0;52.42;56;33.90;MoC;0;0;;0;-999;7.4;N
1;IC2115;;;;;4;56.83;-66;24.90;HII;0;0;;0;-999;;N
1;NGC3372;Car;;Carinanebel;Carina Nebula;10;44.32;-59;53.35;HII;120;120;Eta Carinae;0;8000;3;N
1;NGC2247;;;;;6;33.07;10;19.35;RNe;0;0;;0;-999;;N
1;IC4681;;;;;18;8.00;-23;-30.00;HII;0;0;;0;-999;;N
1;NGC1899;;;;;5;17.80;-67;54.00;HII;0;0;;0;-999;;N
1;IC2169;;;;;6;31.00;10;6.00;HII;0;0;;0;-999;;N
1;LHA115-N84A;;;;;1;14.62;-73;18.00;HII;0;0;;0;-999;;N
1;IC430;;;;;5;38.30;-7;2.44;ISM;0;0;;14.4;-999;;N
1;NGC2060;;;;;5;37.86;-69;10.39;SNR;0;0;;9.59;-999;;N
1;IC1275;;;;;18;10.11;-23;46.37;HII;0;0;;0;-999;;N
1;NGC7538C;;;;;23;13.72;61;28.23;HII;0;0;;0;-999;;N
1;IC434;;;;;5;41.00;-2;-30.00;HII;0;0;;0;-999;;N
1;SMBLACKHOLE;;;;;17;45.67;-29;-0.47;GBH;0;0;;0;26500;;N

