Sco;Skorpion;Scorpius;Scorpion;Skorpioni;Scorpion;Scorpione;Escorpio, Escorpión;Štír;Akrep;Z
Sct;Schild;Scutum;Shield;Kilpi;Écu de Sobieski;Scudo;Escudo;Štít;Kalkan;N
Ser;Schlange;Serpens;Serpent;Kaeaerme;Serpent;Serpente;Serpiente;Had;Y?lan;N/S
Sex;Sextant;Sextans;Sextant;Sekstantti;Sextant;Sestante;Sextante;Sextant;Alt?l?k;S
Sge;Pfeil;Sagitta;Arrow;Nuoli;Flèche;Freccia;Flecha, Saeta;Šíp;Okçuk;N
Sgr;Schuetze;Sagittarius;Archer;Jousimies;Sagittaire;Sagittario;Sagitario, Arquero;St?elec;Yay;Z
Tau;Stier;Taurus;Bull;Haerkae;Taureau;Toro;Tauro, Toro;Býk;Bo?a;Z
Tel;Teleskop;Telescopium;Telescope;Kaukoputki;Télescope;Telescopio;Telescopio;Dalekohled;Duerbuen;S
TrA;Suedliches Dreieck;Triangulum Australe;Southern Triangle;Etelaen kolmio;Triangle Austral;Triangolo Australe;Triángulo Austral;Jižní trojúhelník;Gueney Ueçgeni;S
Tri;Dreieck;Triangulum;Triangle;Kolmio;Triangle;Triangolo;Triángulo;Trojúhelník;Ueçgen;N
Tuc;Tukan;Tucana;Toucan;Tukaani;Toucan;Tucano;Tucán;Tukan;Tukan;S
UMa;Grosser Baer;Ursa Maior;Big Dipper, Great Bear, Plough;Iso karhu;Grande Ourse;Orsa Maggiore;Osa Mayor;Velká medv?dice;Bueyuek Ay?;N
UMi;Kleiner Baer;Ursa Minor;Little Bear, Little Dipper;Pieni karhu;Petite Ourse;Orsa Minore;Osa Pequeño, Osa Menor;Malý medv?d;Kueçuek Ay?;N
Vel;Segel;Vela;Sails;Purje;Voiles;Vela;Vela, Velamen;Plachty;Yelken;S
Vir;Jungfrau;Virgo;Virgin;Neitsyt;Vierge;Vergine;Virgo, Virgen;Panna;Ba?ak;Z S/N
Vol;Fliegender Fisch;Volans;Flying Fish;Lentokala;Poisson Volant;Pesce volante;Pez Volador;Létající ryba;Uçanbal?k;S
Vul;Fuchs;Vulpecula;Little Fox;Kettu;Petit Renard;Volpetta;Zorro;Lišti?ka;Tilkicik;
