CATNO;CATNO2_NGC;CON;MESSIER;NAME_DE;NAME_EN;RA_HH;RA_MM_SS;DEC_DEG;DEC_MM_SS;PNTYPE;VISDIM1;VISDIM2;MAG;MAG_STAR;DIST_LY;RADSPEED;PN
1;NGC2899;Vel;;Schmetterling;Butterfly;9;27.05;-56;6.35;-;2;1;11.8;-999;4500;3;PN
1;NGC6620;;;;;18;22.90;-26;49.29;-;0;0;-999;-999;-999;73;PN
1;NGC2242;;;;;6;34.12;44;46.63;-;0;0;-999;-999;-999;38;PN
1;IC972;;;;;14;4.43;-17;13.68;-;1;1;-999;-999;-999;-27;PN
1;NGC5873;;;;;15;12.85;-38;7.56;-;0;0;9.7;-999;-999;-130;PN
1;IC4699;;;;;18;18.53;-45;59.03;-;0;0;12.71;-999;-999;-136;PN
1;NGC6567;Sgr;;PK 11-0.2 / ESO 590-PN8;PK 11-0.2 / ESO 590-PN8;18;13.75;-19;4.57;-;12;12;10.9;-999;-999;119;PN
1;NGC7354;;;;;22;40.33;61;17.14;-;0;0;-999;-999;-999;-42;PN
1;NGC2346;;;;;7;9.38;0;48.39;-;1;1;11.58;-999;-999;47;PN
1;NGC2867;Car;;;;9;21.42;-58;18.68;-HD 81119;0.4;0.4;9.7;-999;6200;13;PN
1;NGC6765;;;;;19;11.11;30;32.71;-;1;1;-999;-999;-999;-60;PN
1;NGC6563;;;;;18;12.05;-33;52.12;-;1;1;10;-999;-999;-31;PN
1;IC2165;;;;;6;21.71;-12;59.23;-;0;0;10;-999;-999;53;PN
1;PNM1-3;;;;;3;33.24;-25;52.30;-;6;6;11.16;-999;891;108;PN
1;NGC5307;Cen;;;;13;51.06;-51;12.35;-HD 120489;0.3;0.3;10;-999;10000;42;PN
1;NGC6742;;;;;18;59.33;48;27.92;-;0;0;-999;-999;-999;-159;PN
1;IC2448;;;;;9;7.10;-69;56.51;-;1;0;-999;-999;-999;-24;PN
1;NGC6852;;;;;20;0.65;1;43.67;-;0;0;12.48;-999;-999;-11;PN
1;NGC6833;;;;;19;49.78;48;57.67;-;0;0;-999;-999;-999;-109;PN
1;IC3568;;;;;12;33.11;82;33.82;-;0;0;11.1;-999;-999;-40;PN
1;NGC2818;Pyx;;;;9;16.03;-36;37.65;-;1;1;8.2;-999;10400;-1;PN
1;IC2501;Car;;;;9;38.79;-60;5.51;-;0;0;10.4;-999;-999;33;PN
1;IC418;Lep;;Spirographnebel;;5;27.47;-12;41.84;-;0.2;0.2;13;-999;3000;62;PN
1;NGC6565;;;;;18;11.88;-28;10.71;-;0;0;10;-999;-999;-5;PN
1;IC1295;Sct;;;;18;54.62;-8;49.65;-;90;90;12.5;-999;3600;-13;PN
1;NGC6644;;;;;18;32.58;-25;7.74;-;0;0;9.6;-999;-999;194;PN
1;NGC6309;Oph;;Box-Nebel;Box Nebula;17;14.07;-12;54.60;-;0.32;0.32;11.5;-999;6500;-40;PN
1;IC1747;;;;;1;57.60;63;19.31;-;0;0;15.4;-999;-999;-66;PN
1;NGC5315;Cir;;;;13;53.95;-66;30.84;-HD 120800;0.23;0.23;9.8;-999;7000;-23;PN
1;PNTc1;;;;;17;45.59;-46;5.39;-;1;0;11.49;-999;-999;-94;PN
1;NGC6537;;;;;18;5.22;-19;50.58;-;0;0;13.58;-999;-999;-17;PN
1;NGC6629;;;;;18;25.71;-23;12.17;-;1;0;9.9;-999;-999;13;PN
1;NGC7048;;;;;21;14.25;46;17.29;-;1;1;-999;-999;-999;-50;PN
1;NGC6894;;;;;20;16.40;30;33.89;-;1;1;-999;-999;-999;-58;PN
1;IC4670;;;;;17;55.12;-21;44.67;-;0;0;13.28;-999;-999;12;PN
1;NGC3699;Cen;;;;11;27.96;-59;57.46;-HD 306491;1;1;11.3;14.3;-999;-16;PN
1;IC1297;;;;;19;17.39;-39;36.77;-;0;0;-999;-999;-999;19;PN
1;NGC6772;;;;;19;14.61;-2;42.42;-;1;1;-999;-999;-999;0;PN
1;IC5117;;;;;21;32.52;44;35.79;-;0;0;16.7;-999;-999;-26;PN
1;NGC6741;;;;;19;2.62;0;26.95;-;0;0;9.6;-999;-999;43;PN
1;NGC6781;Aql;;;;19;18.47;6;32.32;-;114;114;11.4;-999;4000;4;PN
1;NGC0040;Cep;;;;0;13.02;72;31.32;-;1.23;1.23;12.3;11.6;3500;-20;PN
1;NGC2371;;;;;7;25.58;29;29.44;-;1;1;13.5;-999;327;21;PN
1;IC4776;;;;;18;45.84;-33;20.53;-;0;0;9.7;-999;-999;19;PN
1;NGC3587;UMa;M097;Eulennebel;Owl Nebula;11;14.80;55;1.15;-;3;3;15.777;-999;2500;0;PN
1;NGC1501;Cam;;Austernnebel;Oyster Nebula;4;6.99;60;55.24;-;0.87;0.87;13;-999;4200;37;PN
1;V4647;Sgr;;Pistolennebel;Pistol Nebula;17;46.255;-28;50.067;SDOR0;1;1;12;8;25000;0;PN
