CATNO;CATNO2_NGC;CON;MESSIER;NAME_DE;NAME_EN;MAG;RA_HH;RA_MM_SS;DEC_DEG;DEC_MM_SS;GTYPE;DIST_LY;RADSPEED;VISDIM;GC
1;NGC6541;CrA;;;;7.32;18;8.04;-43;42.89;3;22800;-154;15;GC
1;IC1257;;;;;0;17;27.10;-7;5.00;0;-999;0;0;GC
1;NGC1818;;;;;0;5;4.22;-66;26.09;0;-999;0;2.9;GC
1;NGC1783;Dor;;ESO 85-SC29;ESO 85-SC29;10.93;4;59.14;-65;59.26;0;160000;0;5;GC
1;NGC7492;;;;;10.48;23;8.44;-15;36.69;0;-999;-188;0;GC
1;NGC7006;;;;;10.46;21;1.49;16;11.27;0;-999;-348;1.4965;GC
1;NGC1696;;;;;13.95;4;48.49;-68;14.55;0;-999;0;1.1;GC
1;NGC2231;;;;;13.2;6;20.72;-67;31.12;0;-999;278;1.049;GC
1;NGC5139;Cen;;Omega Centauri;Omega Centauri;5.33;13;26.79;-47;28.77;8;17300;238;55;GC
1;NGC2031;;;;;10.83;5;33.69;-70;59.24;0;-999;0;3.05;GC
1;NGC3201;Vel;;Caldwell 79;Caldwell 79;8.24;10;17.61;-46;24.75;0;16300;494;0;GC
1;NGC1756;;;;;12.24;4;54.82;-69;14.17;0;-999;0;1.35;GC
1;NGC1806;;;;;0;5;2.18;-67;59.30;0;-999;0;2.5;GC
1;NGC6362;Ara;;;;8.86;17;31.92;-67;2.90;0;25000;-13;15;GC
1;NGC6540;;;;;0;18;6.14;-27;45.92;0;-999;0;0;GC
1;NGC1651;;;;;12.28;4;37.54;-70;35.15;0;-999;228;0;GC
1;NGC6558;;;;;11.29;18;10.31;-31;45.81;0;-999;-144;0;GC
1;NGC6101;Aps;;;;9.2;16;25.80;-72;12.13;10;49900;361;5;GC
1;NGC6380;;;;;0;17;34.47;-39;4.15;0;-999;0;0;GC
1;NGC4372;Mus;;;;7.2;12;25.76;-72;39.55;12;18900;73;5;GC
1;NGC1805;;;;;0;5;2.36;-66;6.66;0;-999;390;1.7;GC
1;IC4499;;;;;8.56;15;0.31;-82;12.83;0;-999;0;0;GC
1;NGC2808;Car;;;;5.69;9;12.05;-64;51.81;0;30000;100;14;GC
1;NGC1652;;;;;13.13;4;38.38;-68;40.34;0;-999;276;0;GC
1;IC1276;;;;;0;18;10.74;-7;12.46;0;-999;0;0;GC
1;NGC6325;;;;;0;17;17.99;-23;45.96;0;-999;3;0;GC
1;NGC1868;;;;;11.57;5;14.60;-63;57.30;0;-999;0;2.7;GC
1;NGC2159;;;;;11.38;5;57.95;-68;37.40;0;-999;0;1.9;GC
1;NGC6717;;;;;10.35;18;55.10;-22;42.09;0;-999;2;0;GC
1;NGC4833;Mus;;;;8.4;12;59.57;-70;52.59;8;19000;201;14;GC
1;NGC5286;Cen;;Caldwell 84;Caldwell 84;7.4;13;46.45;-51;22.45;5;35900;54;11;GC
1;NGC6397;Ara;;;;5.3;17;40.70;-53;40.46;9;7200;19;31;GC
1;NGC1851;Col;;;;7.23;5;14.11;-40;2.79;0;39500;321;11;GC
1;NGC5946;;;;;10.72;15;35.48;-50;39.58;0;-999;120;0;GC
1;NGC362;Tuc;;;;6.58;1;3.24;-70;50.93;0;-999;224;0;GC
1;NGC121;;;;;11.24;0;26.82;-71;32.17;0;-999;0;3.45;GC
1;NGC6256;;;;;0;16;59.54;-37;7.29;0;-999;0;0;GC
1;NGC2162;;;;;12.7;6;0.52;-63;43.30;0;-999;323;0;GC
1;NGC1987;;;;;0;5;27.28;-70;44.24;0;-999;0;1.7;GC
1;NGC6352;;;;;8.87;17;25.49;-48;25.33;0;-999;-115;0;GC
1;NGC6749;;;;;12.4;19;5.27;1;54.17;0;-999;0;0;GC
1;NGC2108;;;;;12.32;5;43.94;-69;10.91;0;-999;0;1.8;GC
1;NGC6584;Tel;;;;8.17;18;18.63;-52;12.95;0;43700;223;7;GC
1;NGC1466;;;;;11.59;3;44.55;-71;40.30;0;-999;0;3.5;GC
1;NGC6535;;;;;9.85;18;3.84;0;17.86;0;-999;-215;0;GC
1;NGC6388;Sco;;;;6.8;17;36.29;-44;44.14;3;35000;81;10.4;GC
1;NGC2209;;;;;13.15;6;8.57;-73;50.50;0;-999;0;2.9;GC
1;NGC1978;Dor;;ESO 85-SC90;ESO 85-SC90;10.7;5;28.76;-66;14.20;0;159700;0;3.35;GC
1;NGC1841;;;;;11.43;4;45.38;-83;59.80;0;-999;210;0;GC
1;NGC1261;Hor;;;;8.63;3;12.27;-55;12.97;0;53500;53;6.8;GC

