CATNO;CATNO2_NGC;CON;MESSIER;NAME_DE;NAME_EN;RA_HH;RA_MM_SS;DEC_DEG;DEC_MM_SS;OCTYPE;_DIAM_MM;MAG;STAR_CNT;DIST_LY;AGE;OC
1;NGC6633;Oph;;;;18;27.7;6;34;III-2m;27;4.6;30;1043;660;OC
1;NGC2169;Ori;;;;6;8.5;13;57;I-3pn;7;5.9;30;3586;50;OC
1;NGC2175;Ori;;;;6;9.8;20;19;IV-3pn;18;6.8;60;6357;-1;OC
1;NGC869;Per;;h Persei;h Persei;2;19;57;8;I-3r;30;4.3;200;7172;6;OC
1;NGC884;Per;;Chi Persei;Chi Persei;2;22.4;57;6;I-3r;30;4.4;150;7498;3;OC
1;NGC957;Per;;;;2;33.6;57;31;III-2p;11;7.5;30;7172;15;OC
1;NGC1039;Per;M034;;;2;42;42;46;II-3m;35;5.2;60;1434;190;OC
1;NGC1245;Per;;;;3;14.6;47;14;III-1r;10;7.5;200;7498;1100;OC
1;NGC1342;Per;;;;3;31.6;37;19;III-3p;14;6.7;40;1793;300;OC
1;NGC1444;Per;;;;3;49.4;52;40;IV-1p;4;6.6;15;3260;160;OC
1;NGC1528;Per;;;;4;15.2;51;14;II-2m;24;6.4;40;2608;270;OC
1;NGC2422;Pup;M047;;;7;36.6;-14;29;III-2m;30;4.4;30;1565;78;OC
1;NGC2423;Pup;;;;7;37.1;-13;51;IV-2m;20;6.7;40;2836;350;OC
1;NGC2439;Pup;;;;7;40.8;-31;38;II-3m;10;6.9;80;5249;66;OC
1;NGC2447;Pup;M093;;;7;44.5;-23;52;IV-1p;22;6.2;80;3586;98;OC
1;NGC2451;Pup;;;;7;45.4;-37;58;II-2p;45;2.8;40;848;36;OC
1;NGC2477;Pup;;;;7;52.3;-38;32;I-3r;27;5.8;160;4238;710;OC
1;NGC2546;Pup;;;;8;12.4;-37;37;III-2m;41;6.3;40;3260;42;OC
1;NGC2571;Pup;;;;8;18.9;-29;44;IV-1p;13;7.0;30;6846;22;OC
1;NGC6494;Sgr;M023;;;17;56.9;-19;1;III-1m;27;5.5;150;660;2152;OC
1;NGC6530;Sgr;;;;18;4.7;-24;19;II-2mn;15;4.6;25;5216;2;OC
1;NGC6531;Sgr;M021;;;18;4.8;-22;29;I-3m;13;5.9;70;4238;5;OC
1;IC4715;Sgr;M024;;;18;18.4;-18;25;I-1rn;5;4.6;100;9389;-1;OC
1;NGC6613;Sgr;M018;;;18;19.9;-17;7;II-3pn;9;6.9;20;3912;32;OC
1;NGC6618;Sgr;M017;;;18;20.8;-16;10;III-2pn;11;6.0;40;4890;-1;OC
1;NGC6716;Sgr;;;;18;54.5;-19;53;IV-1p;7;6.9;20;1956;160;OC
1;IRAS 17430-2848;Sgr;;Quintuplet-Sternhaufen;Quintuplet-;17;46.23;-28;49.8;INVIS;-1;12;1000;25000;-1;OC
1;NGC6383;Sco;;;;17;34.7;-32;35;IV-3pn;5;5.5;40;4499;5;OC
1;NGC6405;Sco;M006;;;17;40.0;-32;12;III-2p;15;4.2;80;1956;51;OC
1;NGC6475;Sco;M007;;;17;54;-34;48;II-2r;80;3.3;80;240;717;OC
1;NGC6705;Sct;M011;;;18;51.1;-6;16;I-2r;14;5.8;200;5607;220;OC
1;NGC6611;Ser;M016;Adlernebel;Eagle Nebula;18;18.8;-13;46;II-3mn;7;6.0;55;8150;6;OC
1;IC4756;Ser;;;;18;39.0;-5;28;III-2m;52;5.4;80;1304;580;OC
1;Cr42;Tau;M045;Plejaden;Pleiades;3;46.9;24;7;I-3rn;110;1.2;100;408;78;OC
1;Cr50;Tau;;Hyaden (Mel 25);Hyades (Mel 25);4;27;16;30;II-3m;330;0.5;40;150;660;OC
1;NGC1647;Tau;;;;4;46.1;19;4;II-2m;45;6.4;200;1793;210;OC
1;NGC1746;Tau;;;;5;3.6;23;48;III-1p;42;6.1;20;1369;-1;OC
1;Cr399;Vul;;Brocchi-Galaxienhaufen;Brocchi Galaxy Cluster;19;25.4;20;11;III-2p;60;3.6;40;424;200;OC
1;NGC2181;;;;;6;2.72;-65;15.90;-;2;13.64;-999;-999;-999;OC
1;NGC1905;;;;;5;18.38;-67;16.66;-;1;13.21;-999;-999;-999;OC
