CATNO;CATNO2_NGC;CON;MESSIER;NAME_DE;NAME_EN;RA_HH;RA_MM_SS;DEC_DEG;DEC_MM_SS;OCTYPE;_DIAM_MM;MAG;STAR_CNT;DIST_LY;AGE;OC
1;NGC2171;;;;;5;58.43;-70;39.27;-;0;-999;-999;-999;-999;OC
1;NGC6830;;;;;19;50.98;23;6.00;-;0;7.9;-999;-999;-999;OC
1;NGC6728;;;;;18;58.80;-8;58.00;-;0;-999;-999;-999;-999;OC
1;NGC330;;;;;0;56.34;-72;27.21;-;3;9.55;-999;-999;-999;OC
1;NGC2567;;;;;8;18.53;-30;38.40;-;0;7.4;-999;-999;-999;OC
1;NGC2362;CMa;;;;7;18.68;-24;57.30;I3p;6;3.8;-999;4500;5;OC
1;NGC6451;;;;;17;50.68;-30;12.60;-;0;8.2;-999;-999;-999;OC
1;IC4291;;;;;13;36.90;-62;5.50;-;0;9.7;-999;-999;-999;OC
1;NGC7686;;;;;23;30.20;49;8.00;-;0;5.6;-999;-999;-999;OC
1;NGC1733;;;;;4;54.07;-66;40.93;-;1;13.31;-999;-999;-999;OC
1;NGC2506;;;;;8;0.02;-10;46.20;-;0;7.6;-999;-999;-999;OC
1;NGC1940;;;;;5;22.74;-67;11.18;-;1;11.91;-999;-999;-999;OC
1;NGC1916;;;;;5;18.63;-69;24.38;-;2;10.38;-999;-999;-999;OC
1;LHA120-N43;;;;;5;22.43;-65;44.77;-;0;9.85;-999;-999;-999;OC
1;NGC2252;;;;;6;35.02;5;25.22;-;0;7.7;-999;-999;-999;OC
1;NGC2354;;;;;7;14.17;-25;41.40;-;0;6.5;-999;-999;-999;OC
1;NGC6866;;;;;20;3.92;44;9.50;-;0;7.6;-999;-999;-999;OC
1;IC361;;;;;4;19.00;58;18.00;-;0;11.7;-999;-999;-999;OC
1;NGC6828;;;;;19;50.28;7;54.20;-;0;-999;-999;-999;-999;OC
1;NGC1793;;;;;4;59.65;-69;33.37;-;1;12.41;-999;-999;-999;OC
1;NGC2483;;;;;7;55.60;-27;54.00;-;0;7.6;-999;-999;-999;OC
1;NGC411;;;;;1;7.93;-71;46.08;-;2;12.1;-999;-999;-999;OC
1;NGC1582;;;;;4;32.26;43;50.72;-;0;7;-999;-999;-999;OC
1;NGC1776;;;;;4;58.66;-66;25.77;-;1;13.01;-999;-999;-999;OC
1;NGC2066;;;;;5;37.71;-70;9.90;-;1;13.1;-999;-999;-999;OC
1;NGC1767;;;;;4;56.45;-69;24.20;-;1;10.61;-999;-999;-999;OC
1;NGC2024;;;;;5;41.72;-1;50.50;-;0;-999;-999;-999;-999;OC
1;NGC3105;;;;;10;0.80;-54;46.00;-;0;9.7;-999;-999;-999;OC
1;NGC3231;;;;;10;26.96;66;48.92;-;0;-999;-999;-999;-999;OC
1;NGC7067;;;;;21;24.20;48;1.00;-;0;9.7;-999;-999;-999;OC
1;HD32279;;;;;4;56.98;-66;24.30;-;0;-999;-999;-999;-999;OC
1;NGC6793;;;;;19;23.30;22;8.40;-;0;-999;-999;-999;-999;OC
1;NGC2113;;;;;5;45.37;-69;46.40;-;0;12.33;-999;-999;-999;OC
1;NGC1928;;;;;5;20.93;-69;28.58;-;1;12.47;-999;-999;-999;OC
1;NGC2140;;;;;5;54.29;-68;36.01;-;2;12.44;-999;-999;-999;OC
1;NGC7245;;;;;22;15.25;54;19.97;-;0;9.2;-999;-999;-999;OC
1;NGC6546;;;;;18;7.37;-23;17.80;-;0;8;-999;-999;-999;OC
1;NGC1801;;;;;5;0.57;-69;36.80;-;2;12.16;-999;-999;-999;OC
1;IC410;;;;;5;22.00;33;29.00;-;0;-999;-999;-999;-999;OC
1;NGC6823;;;;;19;43.15;23;18.00;-;0;7.1;-999;-999;-999;OC
1;NGC1874;;;;;5;13.22;-69;22.50;-;1;12.81;-999;-999;-999;OC
1;NGC2428;;;;;7;39.40;-16;32.00;-;0;-999;-999;-999;-999;OC
1;NGC242;;;;;0;43.63;-73;26.63;-;1;-999;-999;-999;-999;OC
1;NAMEHIP37742CLUSTER;;;;;7;44.45;-37;40.00;-;0;-999;-999;-999;-999;OC
1;NGC1791;;;;;4;59.09;-70;10.03;-;1;13.12;-999;-999;-999;OC
1;NGC1348;;;;;3;33.86;51;26.15;-;0;-999;-999;-999;-999;OC
1;NGC1950;;;;;5;24.55;-69;54.07;-;2;13.17;-999;-999;-999;OC
1;IC1662;;;;;1;12.56;-73;27.38;-;1;14.03;-999;-999;-999;OC
1;NGC265;;;;;0;47.19;-73;28.68;-;1;12.17;-999;-999;-999;OC
1;NGC2587;;;;;8;23.50;-29;30.00;-;0;9.2;-999;-999;-999;OC
1;NGC1662;;;;;4;48.45;10;56.20;-;0;6.4;-999;-999;-999;OC
1;NGC2202;;;;;6;16.90;6;0.00;-;0;-999;-999;-999;-999;OC
1;NGC1915;;;;;5;19.45;-66;44.40;-;1;-999;-999;-999;-999;OC
1;NGC1922;;;;;5;19.83;-69;30.06;-;1;11.51;-999;-999;-999;OC
1;NGC2118;;;;;5;47.66;-69;7.88;-;2;13.384;-999;-999;-999;OC
1;NGC5999;;;;;15;52.20;-56;28.00;-;0;9;-999;-999;-999;OC
1;NGC7235;;;;;22;12.42;57;16.20;-;0;7.7;-999;-999;-999;OC
1;NGC7084;;;;;21;32.55;17;30.50;-;0;-999;-999;-999;-999;OC
1;NGC6507;;;;;17;59.60;-17;24.00;-;0;9.6;-999;-999;-999;OC
1;NGC6067;Nor;;;;16;13.18;-54;13.10;I2r;15;5.6;-999;4600;90;OC
1;NGC2114;;;;;5;46.21;-68;2.88;-;1;12.48;-999;-999;-999;OC
1;IC2395;Vel;;;;8;42.52;-48;6.00;II3p;8;4.6;-999;2300;17;OC
1;NGC654;Cas;;;;1;44.00;61;53.10;II3m;0;6.5;-999;6650;-999;OC
1;NGC7226;;;;;22;10.50;55;25.00;-;0;9.6;-999;-999;-999;OC
1;NGC2016;;;;;5;31.58;-69;56.72;-;2;-999;-999;-999;-999;OC
1;NGC5043;;;;;13;16.10;-60;4.00;-;0;-999;-999;-999;-999;OC
1;NGC6664;;;;;18;36.62;-7;48.80;-;0;7.8;-999;-999;-999;OC
1;NGC2635;;;;;8;38.47;-34;45.60;-;0;11.2;-999;-999;-999;OC
1;NGC1907;Aur;;;;5;28.08;35;19.50;II1m;6;8.2;30;5100;-999;OC
1;NGC1810;;;;;5;3.39;-66;22.93;-;1;11.9;-999;-999;-999;OC
1;NGC1817;;;;;5;12.25;16;41.40;-;0;7.7;-999;-999;-999;OC
1;NGC2153;;;;;5;57.87;-66;24.03;-;2;13.05;-999;-999;-999;OC
1;NGC1941;;;;;5;23.13;-66;22.74;-;1;12;-999;-999;-999;OC
1;NGC176;;;;;0;35.98;-73;9.94;-;1;13.01;-999;-999;-999;OC
1;NGC1857;;;;;5;20.20;39;21.00;-;0;7;-999;-999;-999;OC
1;NGC2126;;;;;6;3.00;49;54.00;-;0;-999;-999;-999;-999;OC
1;NGC3036;;;;;9;49.20;-62;40.00;-;0;-999;-999;-999;-999;OC
1;NGC6193;Ara;;Caldwell 82;Caldwell 82;16;41.33;-48;45.80;II3p;14;5.2;-999;3800;10;OC
1;NGC1749;;;;;4;54.93;-68;11.36;-;1;13.56;-999;-999;-999;OC
1;NGC4337;;;;;12;24.08;-58;7.30;-;0;8.9;-999;-999;-999;OC
1;NGC2262;;;;;6;39.65;1;8.50;-;0;-999;-999;-999;-999;OC
1;NGC6800;;;;;19;27.10;25;8.00;-;0;-999;-999;-999;-999;OC
1;NGC1944;;;;;5;21.96;-72;29.64;-;1;11.84;-999;-999;-999;OC
1;NGC6819;;;;;19;41.30;40;11.20;-;0;7.3;-999;-999;-999;OC
1;NAMENGC6334-I;;;;;17;20.89;-35;47.02;-;0;-999;-999;-999;-999;OC
1;NGC2489;;;;;7;56.25;-30;3.80;-;0;7.9;-999;-999;-999;OC
1;NGC6259;;;;;17;0.75;-44;39.30;-;0;8;-999;-999;-999;OC
1;NGC1708;;;;;5;3.40;52;51.00;-;0;-999;-999;-999;-999;OC
1;NGC1718;;;;;4;52.42;-67;3.14;-;0;12.25;-999;-999;-999;OC
1;NGC1844;;;;;5;7.50;-67;19.45;-;2;12.08;-999;-999;-999;OC
1;NGC1969;;;;;5;26.57;-69;50.45;-;1;12.46;-999;-999;-999;OC
1;NGC1894;;;;;5;15.87;-69;28.14;-;1;12.16;-999;-999;-999;OC
1;NGC1664;;;;;4;51.10;43;40.50;-;0;7.6;-999;-999;-999;OC
1;NGC1836;;;;;5;5.60;-68;37.76;-;1;12.22;-999;-999;-999;OC
1;NGC5045;;;;;13;14.17;-63;23.40;-;0;-999;-999;-999;-999;OC
1;NGC2003;;;;;5;30.92;-66;27.97;-;2;11.3;-999;-999;-999;OC
1;NGC5617;Cen;;;;14;29.73;-60;42.70;I3m;10;6.3;-999;5000;-999;OC
1;NGC2133;;;;;5;51.49;-71;10.43;-;2;-999;-999;-999;-999;OC
1;NGC1829;;;;;5;4.95;-68;3.30;-;0;-999;-999;-999;-999;OC
1;NGC7419;;;;;22;54.33;60;48.90;-;0;13;-999;-999;-999;OC
1;NGC643;;;;;1;35.02;-75;33.43;-;2;-999;-999;-999;-999;OC
1;NGC1702;;;;;4;49.43;-69;51.10;-;1;12.5;-999;-999;-999;OC
1;NGC1734;;;;;4;53.55;-68;45.99;-;1;13.1;-999;-999;-999;OC
1;NGC1745;;;;;4;54.33;-69;9.50;-;0;13.4;-999;-999;-999;OC
1;NGC7055;;;;;21;19.40;57;35.00;-;0;-999;-999;-999;-999;OC
1;NGC2338;;;;;7;7.79;-5;43.18;-;0;-999;-999;-999;-999;OC
1;NGC2079;;;;;5;39.92;-69;45.00;-;0;11.81;-999;-999;-999;OC
1;NGC1778;;;;;5;8.07;37;1.40;-;0;7.7;-999;-999;-999;OC
1;NGC1849;;;;;5;9.58;-66;18.88;-;2;12.77;-999;-999;-999;OC
1;NGC2130;;;;;5;52.38;-67;20.00;-;1;12.1;-999;-999;-999;OC
1;NGC1754;;;;;4;54.30;-70;26.54;-;2;11.57;-999;-999;-999;OC
1;NGC2509;;;;;8;0.70;-19;4.00;-;0;9.3;-999;-999;-999;OC
1;NGC2004;Dor;;ESO 86-SC4;ESO 86-SC4;5;30.67;-67;17.20;-;3;9.6;-999;-999;-999;OC
1;NGC371;Tuc;;;;1;3.42;-72;4.40;-;0;-999;-999;200000;-999;OC
1;ClLindsay105;;;;;1;29.50;-73;34.00;-;0;-999;-999;-999;-999;OC
1;NGC1895;;;;;5;16.87;-67;19.80;-;0;12.93;-999;-999;-999;OC
1;NGC152;;;;;0;32.94;-73;6.94;-;3;12.26;-999;-999;-999;OC
1;NGC1513;;;;;4;10.60;49;31.00;-;0;8.4;-999;-999;-999;OC
1;NGC6603;Sgr;;;;18;18.43;-18;24.40;I2r;4;11.1;-999;11400;-999;OC
1;NGC2116;;;;;5;47.25;-68;30.48;-;1;12.92;-999;-999;-999;OC
1;NGC886;;;;;2;23.50;63;46.00;-;0;-999;-999;-999;-999;OC
1;NGC6322;;;;;17;18.42;-42;56.00;-;0;6;-999;-999;-999;OC
1;NGC2123;;;;;5;51.72;-65;19.24;-;2;12.56;-999;-999;-999;OC
1;NGC6596;;;;;18;17.50;-16;39.00;-;0;-999;-999;-999;-999;OC
1;NGC1966;;;;;5;26.51;-68;49.03;-;1;11.83;-999;-999;-999;OC
1;NGC6231;Sco;;Caldwell 76/Scorpius OB1 Association;Caldwell 76/Scorpius OB1 association;16;54.14;-41;49.60;-;14;2.6;-999;4050;-999;OC
1;IC2146;;;;;5;37.77;-74;47.00;-;0;12.41;-999;-999;-999;OC
1;NGC2083;;;;;5;39.98;-69;44.10;-;0;10.83;-999;-999;-999;OC
1;NGC1949;;;;;5;24.97;-68;28.68;-;1;12.39;-999;-999;-999;OC
1;NGC2100;Dor;;;;5;42.13;-69;12.70;-;3;9.6;-999;160000;15;OC
1;NGC2664;;;;;8;47.18;12;36.20;-;0;-999;-999;-999;-999;OC
1;NGC1252;;;;;3;10.82;-57;46.00;-;0;-999;-999;-999;-999;OC
1;NGC1963;;;;;5;32.28;-36;23.50;-;0;-999;-999;-999;-999;OC
1;C0607+206;;;;;6;10.88;20;36.70;-;0;-999;-999;-999;-999;OC
1;NGC2533;;;;;8;7.07;-29;53.00;-;0;7.6;-999;-999;-999;OC
1;NGC1842;;;;;5;7.31;-67;16.32;-;2;14.02;-999;-999;-999;OC
1;NGC2096;;;;;5;42.27;-68;27.58;-;1;11.31;-999;-999;-999;OC
1;NGC5316;;;;;13;53.95;-61;52.10;-;0;6;-999;-999;-999;OC
1;NGC4052;;;;;12;1.20;-63;13.00;-;0;8.8;-999;-999;-999;OC
1;NGC2112;;;;;5;53.75;0;24.60;-;0;9.1;-999;-999;-999;OC
1;NGC1676;;;;;4;43.89;-68;49.63;-;1;-999;-999;-999;-999;OC
1;NGC1814;;;;;5;3.77;-67;18.25;-;1;12.76;-999;-999;-999;OC
1;NGC2059;;;;;5;37.03;-70;7.61;-;1;12.85;-999;-999;-999;OC
1;NGC2017;Lep;;;;5;39.28;-17;50.80;Ast;4;-999;-999;3650;-999;OC
1;NGC5381;;;;;14;0.60;-59;34.00;-;0;-999;-999;-999;-999;OC
1;NGC306;;;;;0;54.24;-72;14.46;-;1;12.07;-999;-999;-999;OC
1;NGC1673;;;;;4;42.65;-69;49.20;-;1;14.07;-999;-999;-999;OC
1;NGC6756;;;;;19;8.70;4;41.00;-;0;10.6;-999;-999;-999;OC
1;NGC2091;;;;;5;40.99;-69;26.23;-;1;12.07;-999;-999;-999;OC
1;NGC843;;;;;2;11.13;32;5.80;-;0;-999;-999;-999;-999;OC
1;NGC2527;Pup;;;;8;4.97;-28;8.80;-;20;6.5;-999;1960;450;OC
1;NGC129;Cas;;;;0;30.00;60;13.10;IV2p;0;6.5;35;9900;76;OC
1;NGC1220;;;;;3;11.70;53;20.00;-;0;11.8;-999;-999;-999;OC
1;NGC6404;;;;;17;39.62;-33;14.80;-;0;10.6;-999;-999;-999;OC
1;NGC3496;;;;;10;59.60;-60;20.20;-;0;8.2;-999;-999;-999;OC
1;NGC103;;;;;0;25.30;61;21.00;-;0;9.8;-999;-999;-999;OC
1;NGC2331;;;;;7;7.20;27;21.00;-;0;8.5;-999;-999;-999;OC
1;NGC1880;;;;;5;13.65;-69;23.03;-;1;-999;-999;-999;-999;OC
1;NGC1735;;;;;4;54.34;-67;5.97;-;2;10.76;-999;-999;-999;OC
1;NGC1939;;;;;5;21.45;-69;56.98;-;1;11.83;-999;-999;-999;OC
1;NGC6561;;;;;18;10.50;-16;43.50;-;0;-999;-999;-999;-999;OC
1;NGC1972;;;;;5;26.81;-69;50.29;-;1;12.62;-999;-999;-999;OC
1;NGC2437;Pup;M046;;;7;41.77;-14;48.60;-;0;6.1;-999;5400;-999;OC
1;NGC1959;;;;;5;25.60;-69;55.59;-;2;12.17;-999;-999;-999;OC
1;NGC7063;;;;;21;24.40;36;29.00;-;0;7;-999;-999;-999;OC
1;NGC2659;;;;;8;42.60;-44;59.00;-;0;8.6;-999;-999;-999;OC
1;NGC1815;;;;;5;2.45;-70;37.33;-;1;12.41;-999;-999;-999;OC
1;NGC6846;;;;;19;56.48;32;21.27;-;0;14.2;-999;-999;-999;OC
1;NGC4463;;;;;12;29.93;-64;47.40;-;0;7.2;-999;-999;-999;OC
1;NGC5764;;;;;14;53.60;-52;41.00;-;0;12.6;-999;-999;-999;OC
1;NGC6738;;;;;19;1.30;11;37.00;-;0;8.3;-999;-999;-999;OC
1;NGC6396;;;;;17;37.60;-35;1.60;-;0;8.5;-999;-999;-999;OC
1;NGC2192;;;;;6;15.20;39;51.00;-;0;10.9;-999;-999;-999;OC
1;NGC1858;Dor;;;;5;9.93;-68;54.10;-;0;9.88;-999;168000;9;OC
1;NGC416;;;;;1;7.92;-72;20.84;-;2;11.76;-999;-999;-999;OC
1;NGC2286;;;;;6;47.60;-3;10.00;-;0;7.5;-999;-999;-999;OC
1;NGC294;;;;;0;53.05;-73;21.27;-;2;12.24;-999;-999;-999;OC
1;NGC2306;;;;;6;54.49;-7;12.25;-;0;-999;-999;-999;-999;OC
1;NGC1732;;;;;4;53.20;-68;39.05;-;1;12.3;-999;-999;-999;OC
1;NGC1852;;;;;5;9.40;-67;46.63;-;2;12.01;-999;-999;-999;OC
1;NGC2660;Vel;;;;8;42.63;-47;12.00;I3m;3;8.8;-999;9200;-999;OC
1;NGC1751;;;;;4;54.20;-69;48.40;-;0;11.73;-999;-999;-999;OC
1;NGC6647;;;;;18;31.50;-17;21.00;-;0;8;-999;-999;-999;OC
1;NGC2121;;;;;5;48.22;-71;28.87;-;2;12.37;-999;-999;-999;OC
1;NGC189;;;;;0;39.60;61;4.00;-;0;8.8;-999;-999;-999;OC
1;NGC2580;;;;;8;21.60;-30;19.00;-;0;9.7;-999;-999;-999;OC
1;NGC2254;;;;;6;36.00;7;40.00;-;0;9.1;-999;-999;-999;OC
1;NGC6743;;;;;19;1.20;29;17.00;-;0;-999;-999;-999;-999;OC
1;NGC2109;;;;;5;44.39;-68;32.82;-;2;12.21;-999;-999;-999;OC
1;NGC1624;;;;;4;40.60;50;27.70;-;0;11.8;-999;-999;-999;OC
1;NGC2251;;;;;6;34.63;8;22.00;-;0;7.3;-999;-999;-999;OC
1;NGC3293;Car;;Cr224;Cr224;10;35.81;-58;13.00;I3r;5;4.7;1500;7600;10;OC
1;NGC2324;;;;;7;4.12;1;2.70;-;0;8.4;-999;-999;-999;OC
1;IC2161;;;;;5;57.42;-75;8.40;-;2;14.24;-999;-999;-999;OC
1;NGC5715;;;;;14;43.40;-57;33.00;-;0;9.8;-999;-999;-999;OC
1;NGC2425;;;;;7;38.30;-14;52.00;-;0;-999;-999;-999;-999;OC
1;NGC7772;;;;;23;51.77;16;14.80;-;0;-999;-999;-999;-999;OC
1;NGC2482;;;;;7;55.20;-24;15.50;-;0;7.3;-999;-999;-999;OC
1;NGC2210;;;;;6;11.52;-69;7.28;-;1;10.94;-999;-999;-999;OC
1;NGC1958;;;;;5;25.51;-69;50.22;-;2;12.99;-999;-999;-999;OC
1;NGC2396;;;;;7;28.00;-11;43.00;-;0;7.4;-999;-999;-999;OC
1;NGC4815;;;;;12;58.00;-64;57.00;-;0;8.6;-999;-999;-999;OC
1;NGC6005;;;;;15;56.00;-57;27.00;-;0;10.7;-999;-999;-999;OC
1;NGC6481;;;;;17;52.80;4;10.00;-;0;-999;-999;-999;-999;OC
1;NGC2046;;;;;5;35.64;-70;14.49;-;1;12.64;-999;-999;-999;OC
1;NGC1838;;;;;5;6.15;-68;26.75;-;1;12.93;-999;-999;-999;OC
1;NGC1890;;;;;5;13.77;-72;4.80;-;1;12.81;-999;-999;-999;OC
1;NGC3532;Car;;Pincushion Cluster;Nadelkissenhaufen;11;5.65;-58;45.20;II1m;50;3;-999;1500;300;OC
1;NGC2176;;;;;6;1.33;-66;51.25;-;1;-999;-999;-999;-999;OC
1;NGC2479;;;;;7;55.10;-17;43.00;-;0;9.6;-999;-999;-999;OC
1;IC2488;;;;;9;27.63;-57;0.00;-;0;7.4;-999;-999;-999;OC
1;NGC6469;;;;;17;53.20;-22;19.00;-;0;8.2;-999;-999;-999;OC
1;NGC6134;;;;;16;27.77;-49;9.10;-;0;7.2;-999;-999;-999;OC
1;NGC2609;;;;;8;29.53;-61;6.60;-;0;-999;-999;-999;-999;OC
1;NGC2302;;;;;6;51.90;-7;5.00;-;0;8.9;-999;-999;-999;OC
1;NGC7788;;;;;23;56.63;61;24.03;-;0;9.4;-999;-999;-999;OC
1;NGC2408;;;;;7;40.15;71;39.30;-;0;-999;-999;-999;-999;OC
1;NGC2213;;;;;6;10.70;-71;31.73;-;0;12.38;-999;-999;-999;OC
1;NGC2125;;;;;5;50.88;-69;28.69;-;1;-999;-999;-999;-999;OC
1;IC2944;Cen;;Caldwell 100;Caldwell 100;11;38.70;-63;32.00;-;0;-999;-999;6500;-999;OC
1;NGC1860;;;;;5;10.69;-68;45.21;-;1;11.04;-999;-999;-999;OC
1;NGC2203;;;;;6;4.70;-75;26.30;-;0;11.29;-999;-999;-999;OC
1;NGC5281;Cen;;;;13;46.58;-62;55.00;I1p;8;5.9;-999;3600;-999;OC
1;NGC7039;;;;;21;10.80;45;37.00;-;0;7.6;-999;-999;-999;OC
1;NGC1825;;;;;5;4.31;-68;55.71;-;1;12.04;-999;-999;-999;OC
1;NGC6087;Nor;;;;16;18.83;-57;56.10;I2p;15;5.4;-999;2900;-999;OC
1;NGC3572b;;;;;11;10.40;-60;14.00;-;0;-999;-999;-999;-999;OC
1;NGC2193;;;;;6;6.28;-65;5.90;-;0;13.42;-999;-999;-999;OC
1;NGC5359;;;;;14;0.10;-70;23.00;-;0;-999;-999;-999;-999;OC
1;NGC458;;;;;1;14.89;-71;32.98;-;2;11.66;-999;-999;-999;OC
1;NGC5120;;;;;13;25.70;-63;27.20;-;0;10.8;-999;-999;-999;OC
1;NGC2147;;;;;5;55.77;-68;12.13;-;1;12.94;-999;-999;-999;OC
1;NGC4852;;;;;13;0.15;-59;36.80;-;0;8.9;-999;-999;-999;OC
1;NGC460;;;;;1;14.69;-73;17.85;-;0;-999;-999;-999;-999;OC
1;IC2134;;;;;5;23.10;-75;26.80;-;1;13.94;-999;-999;-999;OC
1;NGC436;;;;;1;15.97;58;48.70;-;0;8.8;-999;-999;-999;OC
1;NGC2197;;;;;6;6.12;-67;5.90;-;2;13.45;-999;-999;-999;OC
1;NGC2670;;;;;8;45.50;-48;48.00;-;0;7.8;-999;-999;-999;OC
1;NGC1900;;;;;5;19.15;-63;1.40;-;2;13.59;-999;-999;-999;OC
1;NGC6885;;;;;20;12.02;26;28.70;-;0;8.1;-999;-999;-999;OC
1;NGC6200;;;;;16;44.10;-47;28.00;-;0;7.4;-999;-999;-999;OC
1;NGC6605;;;;;18;16.99;-15;0.67;-;0;6;-999;-999;-999;OC
1;NGC7082;;;;;21;29.28;47;7.60;-;0;7.2;-999;-999;-999;OC
1;IC1023;;;;;14;32.42;-35;48.20;-;0;-999;-999;-999;-999;OC
1;NGC7209;Lac;;;;22;5.12;46;29.00;III1p;25;7.7;-999;3800;-999;OC
1;NGC1743;;;;;4;54.05;-69;12.10;-;1;11.26;-999;-999;-999;OC
1;NGC290;;;;;0;51.21;-73;9.70;-;1;11.71;-999;-999;-999;OC
1;NGC6222;;;;;16;49.70;-44;44.00;-;0;-999;-999;-999;-999;OC
1;NGC6374;;;;;17;32.25;-32;35.80;-;0;-999;-999;-999;-999;OC
1;NGC5168;;;;;13;31.10;-60;56.70;-;0;9.1;-999;-999;-999;OC
1;NGC7128;;;;;21;43.95;53;42.90;-;0;9.7;-999;-999;-999;OC
1;NGC2137;;;;;5;53.20;-69;29.00;-;1;12.66;-999;-999;-999;OC
1;NGC1861;;;;;5;10.37;-70;46.72;-;0;13.16;-999;-999;-999;OC
1;NGC7380;Cyg;;Zauberernebel;Wizard Nebula;22;47.35;58;7.90;IIIpn;20;7.2;-999;7000;-999;OC
1;NGC1996;;;;;5;38.00;25;46.00;-;0;-999;-999;-999;-999;OC
1;IC4725;Sgr;M025;;;18;31.78;-19;7.00;-;0;4.6;-999;2100;-999;OC
1;NGC1822;;;;;5;5.15;-66;12.72;-;1;13.15;-999;-999;-999;OC
1;NGC2105;;;;;5;44.32;-66;55.03;-;2;12.19;-999;-999;-999;OC
1;NGC2151;;;;;5;56.35;-69;1.11;-;1;-999;-999;-999;-999;OC
1;NGC1777;;;;;4;55.80;-74;17.00;-;2;12.8;-999;-999;-999;OC
1;NGC6242;Sco;;;;16;55.60;-39;28.00;I3m;9;6.4;-999;3700;-999;OC
1;NGC1605;;;;;4;35.00;45;15.00;-;0;10.7;-999;-999;-999;OC
1;NGC5749;;;;;14;48.90;-54;30.00;-;0;8.8;-999;-999;-999;OC
1;NGC1980;Ori;;;;5;35.40;-5;54.90;-;14;2.5;-999;1800;5;OC
1;NGC1795;;;;;4;59.78;-69;48.13;-;1;12.42;-999;-999;-999;OC
1;NGC3330;;;;;10;38.80;-54;7.00;-;0;7.4;-999;-999;-999;OC
1;NGC3033;;;;;9;48.62;-56;25.30;-;0;8.8;-999;-999;-999;OC
1;NGC2368;;;;;7;20.97;-10;22.70;-;0;11.8;-999;-999;-999;OC
1;NGC1498;;;;;4;0.30;-12;0.90;-;0;-999;-999;-999;-999;OC
1;NGC6250;;;;;16;57.97;-45;56.60;-;0;5.9;-999;-999;-999;OC
1;NGC6204;;;;;16;46.13;-47;0.73;-;0;8.2;-999;-999;-999;OC
1;NGC2430;;;;;7;39.60;-16;21.00;-;0;-999;-999;-999;-999;OC
1;NGC7261;;;;;22;20.12;58;7.68;-;0;8.4;-999;-999;-999;OC
1;NGC1789;;;;;4;57.85;-71;54.17;-;2;13.06;-999;-999;-999;OC
1;NGC1903;;;;;5;17.38;-69;20.14;-;2;11.86;-999;-999;-999;OC
1;NGC2259;;;;;6;38.57;10;53.40;-;0;10.8;-999;-999;-999;OC
1;IC1310;;;;;20;10.02;34;58.10;-;0;-999;-999;-999;-999;OC
1;NGC6268;;;;;17;2.67;-39;44.30;-;0;9.5;-999;-999;-999;OC
1;NGC2005;;;;;5;30.14;-69;45.24;-;2;11.57;-999;-999;-999;OC
1;NGC2516;Car;;;;7;58.07;-60;45.20;I3r;22;3.8;-999;1300;135;OC
1;NGC2062;;;;;5;40.03;-66;52.60;-;1;12.67;-999;-999;-999;OC
1;NGC2102;;;;;5;42.33;-69;29.30;-;1;11.44;-999;-999;-999;OC
1;NGC2141;;;;;6;2.92;10;26.80;-;0;9.4;-999;-999;-999;OC
1;NGC2088;;;;;5;41.00;-68;27.92;-;1;12.47;-999;-999;-999;OC
1;NGC3680;;;;;11;25.63;-43;14.60;-;0;7.6;-999;-999;-999;OC
1;NGC2311;;;;;6;57.79;-4;36.60;-;0;9.6;-999;-999;-999;OC
1;NGC2304;;;;;6;55.02;18;1.23;-;0;10;-999;-999;-999;OC
1;NGC6645;Sgr;;;;18;32.60;-16;54.00;III1m;15;8.5;-999;4000;-999;OC
1;NGC2316;;;;;6;59.70;-7;46.12;-;0;-999;-999;-999;-999;OC
1;NGC1943;;;;;5;22.51;-70;9.31;-;1;11.88;-999;-999;-999;OC
1;NGC422;;;;;1;9.41;-71;45.98;-;1;13.26;-999;-999;-999;OC
1;NGC222;;;;;0;40.70;-73;23.01;-;1;12.64;-999;-999;-999;OC
1;NGC2085;;;;;5;40.14;-69;40.33;-;0;12.06;-999;-999;-999;OC
1;NGC2095;;;;;5;42.86;-67;19.30;-;1;13.09;-999;-999;-999;OC
1;NGC2180;;;;;6;9.80;4;48.40;-;0;-999;-999;-999;-999;OC
1;NGC2243;;;;;6;29.57;-31;17.00;-;0;9.4;-999;-999;-999;OC
1;NGC1855;;;;;5;9.34;-68;50.88;-;2;10.39;-999;-999;-999;OC
1;NGC2627;;;;;8;37.25;-29;57.30;-;0;8.4;-999;-999;-999;OC
1;NGC2266;;;;;6;43.20;26;58.00;-;0;9.5;-999;-999;-999;OC
1;NGC6253;;;;;16;59.10;-52;43.00;-;0;10.2;-999;-999;-999;OC
1;NGC6837;;;;;19;53.50;11;41.00;-;0;-999;-999;-999;-999;OC
1;NGC1663;;;;;4;49.41;13;8.42;-;0;14.54;-999;-999;-999;OC
1;NGC7044;;;;;21;13.00;42;29.00;-;0;12;-999;-999;-999;OC
1;NGC2134;;;;;5;51.93;-71;5.89;-;3;-999;-999;-999;-999;OC
1;NGC2232;Mon;;;;6;27.25;-4;45.50;IV3p;45;4.2;20;1170;-999;OC
1;NGC2051;;;;;5;36.14;-71;0.71;-;2;11.69;-999;-999;-999;OC
1;NGC1893;;;;;5;22.73;33;24.70;-;0;7.5;-999;-999;-999;OC
